Fz_F2;14.91;58.05;63
F4_F2;40.68;55.95;50.17
F3_F1;-38.87;55.02;51.27
Fz_F1;-13.6;57.72;63.4
Fz_AFz;0.27;69.64;50.94
AF4_F2;32.61;67.67;40.75
AF3_F1;-30.6;66.89;40.78
Fpz_AFz;0.17;84.51;16.86
AF3_AFz;-16.74;78.81;28.33
AF4_AFz;17.97;79.25;28.69
AF3_Fp1;-31.57;80.38;7.12
AF4_Fp2;32.79;81.31;7.44
Fpz_Fp1;-14.67;86.09;-4.35
Fpz_Fp2;14.99;86.58;-4.39
AF8_Fp2;42.8;77.28;-8.92
F3_FC3;-55.21;37.91;48.86
FC2_FC4;48.53;25.08;67.22
FC2_F2;32.15;42.02;69.17
F4_FC4;57.06;39.01;48.22
FC5_FC3;-68.69;20.68;40
FC6_FC4;70.91;21.83;40.04
FC5_F5;-70.84;33.34;20.69
FC6_F6;73.72;34.88;20.41
F7_F5;-67.37;45.25;2.75
F3_F5;-57.36;50.58;29.55
F4_F6;59.88;52.06;28.59
F8_F6;70.47;47.12;2.19
AF8_F6;61.83;59.74;2.81
AF3_F5;-49.09;62.44;19.08
AF4_F6;51.81;63.78;19.16
F7_F9;-70.18;42.06;-30.69
xF9_F9;-67.67;40.21;-54.07
xF5_F5;-65.06;48.47;11.98
xF6_F6;68.45;50.22;11.41
xFp2_Fp2;29.66;84.27;-12.04
